NB_POSTE;DEPARTEMENT;LOCALITE;SIGLE;DENOMINATION COMPLEMENTAIRE;NUMERO ETABLISSEMENT;GROUPEMENT;LATITUDE;LONGITUDE
0;69;MEYZIEU;SEGPA;CLG EVARISTE GALOIS;0692352G;Secteur est de Lyon;45.7770899686;5.00632679347
0;69;MIONS;CLG;MARTIN LUTTER KING;0692579D;Secteur est de Lyon;45.6647373498;4.94915210897
0;69;MIONS;SEGPA;CLG MARTIN LUTTER KING;0692580E;Secteur est de Lyon;45.6647373498;4.94915210897
0;69;MONSOLS;CLG;MONT SAINT RIGAUD;0690070B;Beaujeu et environs;46.222282;4.517556
0;69;MORNANT;CLG;PIERRE DE RONSARD;0692346A;Givors et environs;45.6159773607;4.67379130422
0;69;MORNANT;CLG;PIERRE DE RONSARD;0692346A;Givors et environs;45.6159773607;4.67379130422
0;69;NEUVILLE SUR SAONE;CLG;JEAN RENOIR;0692423J;Secteur nord de Lyon;45.8829276204;4.84373616973
0;69;NEUVILLE SUR SAONE;LYC;ROSA PARKS;0694026B;Secteur nord de Lyon;45.8829276204;4.84373616973
0;69;NEUVILLE SUR SAONE;SEGPA;CLG JEAN RENOIR;0691780K;Secteur nord de Lyon;45.8829276204;4.84373616973
0;69;OULLINS;CLG;LA CLAVELIERE;0691673U;Secteur sud de Lyon;45.7149665543;4.80299453846
0;69;OULLINS;CLG;PIERRE BROSSOLETTE;0690075G;Secteur sud de Lyon;45.7149665543;4.80299453846
0;69;OULLINS;LP;EDMOND LABBE;0690129R;Secteur sud de Lyon;45.7149665543;4.80299453846
0;69;OULLINS;LP;JOSEPH-MARIE JACQUARD;690281 F;Secteur sud de Lyon;45.7149665543;4.80299453846
0;69;OULLINS;LYC;PARC CHABRIERES;690074 F;Secteur sud de Lyon;45.7149665543;4.80299453846
0;69;OULLINS;SEGPA;CLG PIERRE BROSSOLETTE;0692347B;Secteur sud de Lyon;45.7149665543;4.80299453846
0;69;PIERRE BENITE;CLG;MARCEL PAGNOL;0690076H;Secteur sud de Lyon;45.702202274;4.82705049921
1;69;RILLIEUX LA PAPE;CLG;MARIA CASARES;0691498D;Secteur nord de Lyon;45.8205988109;4.89822639815
1;69;RILLIEUX LA PAPE;CLG;PAUL-EMILE VICTOR;0692159X;Secteur nord de Lyon;45.8205988109;4.89822639815
0;69;RILLIEUX LA PAPE;LP;GEORGES LAMARQUE;0691626T;Secteur nord de Lyon;45.8205988109;4.89822639815
0;69;RILLIEUX LA PAPE;LP;SERMENAZ;0692518M;Secteur nord de Lyon;45.8205988109;4.89822639815
0;69;RILLIEUX LA PAPE;LYC;ALBERT CAMUS;0692517L;Secteur nord de Lyon;45.8205988109;4.89822639815
0;69;RILLIEUX LA PAPE;SEGPA;CLG PAUL-EMILE VICTOR;0692161Z;Secteur nord de Lyon;45.8205988109;4.89822639815
0;69;SAIN BEL;LYC;GERMAINE TILLION;0694069Y;L’arbresle et environs;45.8121205501;4.59925971252
0;69;SAINT FONS;CLG;ALAIN;0692342W;Secteur est de Lyon;45.706129;4.857216
0;69;SAINT FONS;SEGPA;CLG ALAIN;0692413Y;Secteur est de Lyon;45.706129;4.857216
0;69;SAINT GENIS LAVAL;CLG;JEAN GIONO;0692521R;Secteur sud de Lyon;45.694023;4.792342
0;69;SAINT GENIS LAVAL;CLG;PAUL D'AUBAREDE;0693287Y;Secteur sud de Lyon;45.694023;4.792342
0;69;SAINT GENIS LAVAL;LYC;RENE DESCARTES;0693654X;Secteur sud de Lyon;45.694023;4.792342
1;69;SAINT GEORGES DE RENEINS;CLG;BOIS FRANC;0690080M;Villefranche sur saone et environs;46.061446;4.721010
0;69;SAINT GEORGES DE RENEINS;SEGPA;CLG BOIS FRANC;0692798S;Villefranche sur saone et environs;46.061446;4.721010
0;69;SAINT LAURENT DE MURE;CLG;LOUIS LACHENAL;0692865P;Secteur est de Lyon;45.685971;5.045983
0;69;SAINT PRIEST;CLG;BORIS VIAN;0692417C;Secteur est de Lyon;45.698484;4.943284
0;69;SAINT PRIEST;CLG;COLETTE;0691497C;Secteur est de Lyon;45.698484;4.943284
0;69;SAINT PRIEST;CLG;GERARD PHILIPE;0692160Y;Secteur est de Lyon;45.698484;4.943284
0;69;SAINT PRIEST;LP;FERNAND FOREST;0693094N;Secteur est de Lyon;45.698484;4.943284
0;69;SAINT PRIEST;LYC;CONDORCET;693478 F;Secteur est de Lyon;45.698484;4.943284
0;69;SAINT PRIEST;SEGPA;CLG GERARD PHILIPE;0692162A;Secteur est de Lyon;45.698484;4.943284
0;69;SAINT SYMPHORIEN D OZON;CLG;JACQUES PREVERT;0691496B;Secteur est de Lyon;45.631001;4.855959
0;69;SAINTE FOY L'ARGENTIERE;CLG;VAL D'ARGENT;0690078K;L’arbresle et environs;45.707105;4.472336
0;69;SAINTE FOY LES LYON;CLG;LE PLAN DU LOUP;0691484N;Secteur ouest de Lyon;45.736311;4.798351
0;69;SAINTE FOY LES LYON;SEGPA;CLG LE PLAN DU LOUP;0690088W;Secteur ouest de Lyon;45.736311;4.798351
1;69;SAINT-MARTIN-EN-HAUT;CLG;LE PETIT PONT;0694092Y;Givors et environs;45.659367;4.559364
2;69;SAINT-PIERRE-DE-CHANDIEU;CLG;CHARLES DE GAULLE;0694227V;Secteur est de Lyon;45.642289;5.013128
0;69;SOUCIEU EN JARREST;CLG;LA PERRIERE;0693046L;Secteur sud de Lyon;45.6769698938;4.69227069505
0;69;TARARE;CLG;MARIE LAURENCIN;0692700K;L’arbresle et environs;45.9036535552;4.42375959345
0;69;TARARE;LP;JULES VERNE;0690130S;L’arbresle et environs;45.9036535552;4.42375959345
0;69;TARARE;LYC;RENE CASSIN;0690085T;L’arbresle et environs;45.9036535552;4.42375959345
0;69;TARARE;SEGPA;CLG MARIE LAURENCIN;0693528K;L’arbresle et environs;45.9036535552;4.42375959345
0;69;TASSIN LA DEMI LUNE;CLG;JEAN-JACQUES ROUSSEAU;0692163B;Secteur ouest de Lyon;45.7628681769;4.75540595543
0;69;THIZY-LES-BOURGS;CLG;LA PLATIERE;0692164C;Thizy et environs;46.032553;4.300581
0;69;THIZY-LES-BOURGS;LYC;FRANCOIS MANSART;0693566B;Thizy et environs;46.032553;4.300581
0;69;THIZY-LES-BOURGS;SEP;LPO FRANCOIS MANSART;0692450N;Thizy et environs;46.032553;4.300581
0;69;VAULX EN VELIN;CLG;AIME CESAIRE;0691666L;Secteur est de Lyon;45.7858821061;4.92637767698
0;69;VAULX EN VELIN;CLG;HENRI BARBUSSE;0692336P;Secteur est de Lyon;45.7858821061;4.92637767698
1;69;VAULX EN VELIN;CLG;JACQUES DUCLOS;0691793Z;Secteur est de Lyon;45.7858821061;4.92637767698
1;69;VAULX EN VELIN;CLG;PIERRE VALDO;0690249W;Secteur est de Lyon;45.7858821061;4.92637767698
0;69;VAULX EN VELIN;LP;LES CANUTS;0693045K;Secteur est de Lyon;45.7858821061;4.92637767698
1;69;VAULX EN VELIN;LYC;ROBERT DOISNEAU;0693619J;Secteur est de Lyon;45.7858821061;4.92637767698
0;69;VAULX EN VELIN;SEGPA;CLG AIME CESAIRE;0691667M;Secteur est de Lyon;45.7858821061;4.92637767698
0;69;VAULX EN VELIN;SEGPA;CLG HENRI BARBUSSE;0692416B;Secteur est de Lyon;45.7858821061;4.92637767698
0;69;VENISSIEUX;CLG;ELSA TRIOLET;0692343X;Secteur est de Lyon;45.7037728826;4.88137668221
0;69;VENISSIEUX;CLG;HONORE DE BALZAC;0691480J;Secteur est de Lyon;45.7037728826;4.88137668221
2;69;VENISSIEUX;CLG;JULES MICHELET;0690094C;Secteur est de Lyon;45.7037728826;4.88137668221
1;69;VENISSIEUX;CLG;LOUIS ARAGON;691799 F;Secteur est de Lyon;45.7037728826;4.88137668221
1;69;VENISSIEUX;CLG;PAUL ELUARD;691730 F;Secteur est de Lyon;45.7037728826;4.88137668221
0;69;VENISSIEUX;LP;HELENE BOUCHER;0690093B;Secteur est de Lyon;45.7037728826;4.88137668221
0;69;VENISSIEUX;LP;MARC SEGUIN;0692418D;Secteur est de Lyon;45.7037728826;4.88137668221
1;69;VENISSIEUX;LYC;JACQUES BREL;0692717D;Secteur est de Lyon;45.7037728826;4.88137668221
1;69;VENISSIEUX;LYC;MARCEL SEMBAT;0690104N;Secteur est de Lyon;45.7037728826;4.88137668221
0;69;VENISSIEUX;SEGPA;CLG ELSA TRIOLET;0692344Y;Secteur est de Lyon;45.7037728826;4.88137668221
0;69;VENISSIEUX;SEGPA;CLG LOUIS ARAGON;0692519N;Secteur est de Lyon;45.7037728826;4.88137668221
0;69;VENISSIEUX;SEP;LPO JACQUES BREL;0694210B;Secteur est de Lyon;45.7037728826;4.88137668221
0;69;VILLEFRANCHE SUR SAONE;CLG;CLAUDE BERNARD;0692699J;Villefranche sur saone et environs;45.9874596667;4.73174007305
0;69;VILLEFRANCHE SUR SAONE;CLG;FAUBERT;0691645N;Villefranche sur saone et environs;45.9874596667;4.73174007305
1;69;VILLEFRANCHE SUR SAONE;CLG;JEAN MOULIN;0690099H;Villefranche sur saone et environs;45.9874596667;4.73174007305
1;69;VILLEFRANCHE SUR SAONE;LYC;CLAUDE BERNARD;690097 F;Villefranche sur saone et environs;45.9874596667;4.73174007305
0;69;VILLEFRANCHE SUR SAONE;LYC;LOUIS ARMAND;0691644M;Villefranche sur saone et environs;45.9874596667;4.73174007305
0;69;VILLEFRANCHE SUR SAONE;SEGPA;CLG JEAN MOULIN;0693047M;Villefranche sur saone et environs;45.9874596667;4.73174007305
0;69;VILLEFRANCHE SUR SAONE;SEP;LPO CLAUDE BERNARD;0693770Y;Villefranche sur saone et environs;45.9874596667;4.73174007305
0;69;VILLEFRANCHE SUR SAONE;SEP;LPO LOUIS ARMAND;0693857T;Villefranche sur saone et environs;45.9874596667;4.73174007305
0;69;VILLEURBANNE;CLG;DU TONKIN;0693093M;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;CLG;JEAN JAURES;0691664J;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;CLG;JEAN MACE;0691478G;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;CLG;LAMARTINE;0692337R;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;CLG;LES IRIS;0690280E;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;CLG;LOUIS JOUVET;0691675W;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;CLG;MORICE LEROUX;0692155T;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;CLG;RUE DES JARDINS;0694296V;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;EREA;RENE PELLET;0692390Y;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;LP;ALFRED DE MUSSET;0690107S;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;LP;MAGENTA;0690047B;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;LP;MARIE CURIE;0690109U;Secteur est de Lyon;45.7707704179;4.88845817426
1;69;VILLEURBANNE;LYC;FREDERIC FAYS;0690103M;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;LYC;PIERRE BROSSOLETTE;0690132U;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;SEGPA;CLG JEAN JAURES;0691665K;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;SEGPA;CLG LOUIS JOUVET;0693128A;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;SEGPA;CLG M�OICE LEROUX;0692156U;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLEURBANNE;SEP;LPO FREDERIC FAYS;0690106R;Secteur est de Lyon;45.7707704179;4.88845817426
0;69;VILLIE MORGON;CLG;JEAN CLAUDE RUET;0690117C;Beaujeu et environs;46.1597734434;4.67110459009
0;42;ANDREZIEUX BOUTHEON;CLG;JACQUES PREVERT;0421487N;Saint Etienne et communes nord;45.5349913099;4.27650426979
0;42;ANDREZIEUX BOUTHEON;LP;PIERRE DESGRANGES;0421691K;Saint Etienne et communes nord;45.5349913099;4.27650426979
0;42;ANDREZIEUX BOUTHEON;LYC;FRANCOIS MAURIAC-FOREZ;0421976V;Saint Etienne et communes nord;45.5349913099;4.27650426979
0;42;ANDREZIEUX BOUTHEON;SEGPA;CLG JACQUES PREVERT;0421488P;Saint Etienne et communes nord;45.5349913099;4.27650426979
0;42;BALBIGNY;CLG;MONTAIGNE;0421455D;Feurs et communes forez;45.8294764785;4.18332533699
0;42;BOEN-SUR-LIGNON;CLG;L’ASTREE;0421085B;Boen et environs & Montbrison et communes forez ouest;45.748516;4.004965
0;42;BOEN-SUR-LIGNON;LYC;L’ASTREE;0422132P;Boen et environs & Montbrison et communes forez ouest;45.748516;4.004965
0;42;BOURG ARGENTAL;CLG;DU PILAT;0420003A;Saint Etienne et communes sud ouest;45.3037339216;4.56653101213
0;42;CHARLIEU;CLG;MICHEL SERVET;421572 F;Roanne et environs;46.166320434;4.17407848439
0;42;CHARLIEU;LYC;JEREMIE DE LA RUE;420008 F;Roanne et environs;46.166320434;4.17407848439
0;42;CHARLIEU;SEP;LPO JEREMIE DE LA RUE;0422180S;Roanne et environs;46.166320434;4.17407848439
0;42;CHAZELLES SUR LYON;CLG;JACQUES BREL;0420011J;Saint Etienne et communes nord;45.6292859414;4.37386809116
0;42;CHAZELLES SUR LYON;LYC;DES HORIZONS;0422284E;Saint Etienne et communes nord;45.6292859414;4.37386809116
0;42;FEURS;CLG;LE PALAIS;0420012K;Feurs et communes forez;45.7323040855;4.22324153789
0;42;FEURS;LYC;DU FOREZ;0421788R;Feurs et communes forez;45.7323040855;4.22324153789
0;42;FIRMINY;CLG;LES BRUNEAUX;0421570D;Saint Etienne et communes sud ouest;45.3788146093;4.28879456136
0;42;FIRMINY;CLG;WALDECK-ROUSSEAU;0421681Z;Saint Etienne et communes sud ouest;45.3788146093;4.28879456136
0;42;FIRMINY;LP;ALBERT CAMUS;0420074C;Saint Etienne et communes sud ouest;45.3788146093;4.28879456136
0;42;FIRMINY;LP;JACOB HOLTZER;0420073B;Saint Etienne et communes sud ouest;45.3788146093;4.28879456136
0;42;FIRMINY;LYC;ALBERT CAMUS;0420013L;Saint Etienne et communes sud ouest;45.3788146093;4.28879456136
0;42;FIRMINY;LYC;JACOB HOLTZER;0420014M;Saint Etienne et communes sud ouest;45.3788146093;4.28879456136
0;42;FIRMINY;SEGPA;CLG LES BRUNEAUX;0421571E;Saint Etienne et communes sud ouest;45.3788146093;4.28879456136
0;42;LA GRAND CROIX;CLG;CHARLES EXBRAYAT;0421086C;Saint Etienne et communes nord est;45.5040795864;4.55860381813
0;42;LA PACAUDIERE;CLG;JEAN PAPON;0421456E;Roanne et environs;46.1848662423;3.88005761466
0;42;LA RICAMARIE;CLG;JULES VALLES;0421689H;Saint Etienne et communes sud ouest;45.4033695674;4.36890566227
0;42;LA TALAUDIERE;CLG;PIERRE ET MARIE CURIE;0421171V;Saint Etienne et communes nord est;45.4783411216;4.42393692912
0;42;LE CHAMBON FEUGEROLLES;CLG;MASSENET FOURNEYRON;0421919H;Saint Etienne et communes sud ouest;45.3886064564;4.33196255695
0;42;LE CHAMBON FEUGEROLLES;LP;ADRIEN TESTUD;0421606T;Saint Etienne et communes sud ouest;45.3886064564;4.33196255695
0;42;LE CHAMBON FEUGEROLLES;SEGPA;CLG MASSENET FOURNEYRON;0421522B;Saint Etienne et communes sud ouest;45.3886064564;4.33196255695
0;42;LE COTEAU;CLG;LES ETINES;0421084A;Roanne et environs;46.0172302823;4.09095787437
0;42;LE COTEAU;LP;ETIENNE LEGRAND;0421489R;Roanne et environs;46.0172302823;4.09095787437
0;42;LE COTEAU;SEGPA;CLG LES ETINES;0421175Z;Roanne et environs;46.0172302823;4.09095787437
0;42;MABLY;CLG;LOUIS ARAGON;0421852K;Roanne et environs;46.0919456873;4.0633211833
0;42;MABLY;CLG;LOUIS ARAGON;0421852K;Roanne et environs;46.0919456873;4.0633211833
0;42;MABLY;SEGPA;CLG LOUIS ARAGON;0421854M;Roanne et environs;46.0919456873;4.0633211833
0;42;MABLY;SEGPA;CLG LOUIS ARAGON;0421854M;Roanne et environs;46.0919456873;4.0633211833
0;42;MONTBRISON;CLG;MARIO MEUNIER;0421454C;Montbrison et communes forez ouest;45.6008365515;4.0713982073
0;42;MONTBRISON;CLG;MARIO MEUNIER;0421454C;Montbrison et communes forez ouest;45.6008365515;4.0713982073
0;42;MONTBRISON;LP;BEAUREGARD;0420075D;Montbrison et communes forez ouest;45.6008365515;4.0713982073
0;42;MONTBRISON;LP;BEAUREGARD;0420075D;Montbrison et communes forez ouest;45.6008365515;4.0713982073
0;42;MONTBRISON;LYC;BEAUREGARD;0420018S;Montbrison et communes forez ouest;45.6008365515;4.0713982073
0;42;MONTBRISON;LYC;BEAUREGARD;0420018S;Montbrison et communes forez ouest;45.6008365515;4.0713982073
0;42;MONTBRISON;SEGPA;CLG MARIO MEUNIER;0421878N;Montbrison et communes forez ouest;45.6008365515;4.0713982073
0;42;MONTBRISON;SEGPA;CLG MARIO MEUNIER;0421878N;Montbrison et communes forez ouest;45.6008365515;4.0713982073
0;42;NERONDE;LP;PIERRE COTON;0420021V;Feurs et communes forez;45.8360580562;4.23058831333
0;42;NOIRETABLE;CLG;ROBERT SCHUMAN;0420022W;Boen et environs;45.805483325;3.7440778928
0;42;PANISSIERES;CLG;DES MONTAGNES DU MATIN;0420023X;Feurs et communes forez;45.7937087884;4.34408742272
0;42;PELUSSIN;CLG;GASTON BATY;0420024Y;Givors et environs;45.4230806352;4.65991656851
0;42;REGNY;CLG;NICOLAS CONTE;0421490S;Roanne et environs;45.9973316564;4.21374559587
0;42;RENAISON;CLG;DE LA COTE ROANNAISE;0421735H;Roanne et environs;46.0476606321;3.90857597535
0;42;RIORGES;CLG;ALBERT SCHWEITZER;421457 F;Roanne et environs;46.0429114311;4.03375590925
0;42;RIVE DE GIER;CLG;FRANCOIS TRUFFAUT;0421172W;Saint Etienne et communes nord est;45.5232368969;4.61000981421
0;42;RIVE DE GIER;CLG;LOUISE MICHEL;0421680Y;Saint Etienne et communes nord est;45.5232368969;4.61000981421
0;42;RIVE DE GIER;LP;RENE CASSIN;0420029D;Saint Etienne et communes nord est;45.5232368969;4.61000981421
0;42;RIVE DE GIER;LYC;GEORGES BRASSENS;0420027B;Saint Etienne et communes nord est;45.5232368969;4.61000981421
0;42;RIVE DE GIER;SEGPA;CLG FRANCOIS TRUFFAUT;0421450Y;Saint Etienne et communes nord est;45.5232368969;4.61000981421
0;42;RIVE DE GIER;SEP;LPO GEORGES BRASSENS;0422023W;Saint Etienne et communes nord est;45.5232368969;4.61000981421
0;42;ROANNE;CLG;ALBERT THOMAS;0421684C;Roanne et environs;46.0449112487;4.0797045647
0;42;ROANNE;CLG;JEAN DE LA FONTAINE;0420035K;Roanne et environs;46.0449112487;4.0797045647
0;42;ROANNE;CLG;JULES FERRY;0421683B;Roanne et environs;46.0449112487;4.0797045647
0;42;ROANNE;LP;ALBERT THOMAS;420077 F;Roanne et environs;46.0449112487;4.0797045647
0;42;ROANNE;LP;CARNOT;0420076E;Roanne et environs;46.0449112487;4.0797045647
0;42;ROANNE;LYC;ALBERT THOMAS;0420033H;Roanne et environs;46.0449112487;4.0797045647
1;42;ROANNE;LYC;CARNOT;0420034J;Roanne et environs;46.0449112487;4.0797045647
0;42;ROANNE;LYC;JEAN PUY;420031 F;Roanne et environs;46.0449112487;4.0797045647
0;42;ROANNE;SEGPA;CLG JEAN DE LA FONTAINE;0421077T;Roanne et environs;46.0449112487;4.0797045647
0;42;ROCHE LA MOLIERE;CLG;LOUIS GRUNER;0421174Y;Saint Etienne et communes sud ouest;45.4259230436;4.32495559821
0;42;SAINT BONNET LE CHATEAU;CLG;EMILE FALABREGUE;0420038N;Saint Etienne et communes sud ouest;45.423719;4.065968
0;42;SAINT CHAMOND;CLG;ENNEMOND RICHARD;0420968Z;Saint Etienne et communes nord est;45.472522;4.513262
P;42;SAINT CHAMOND;CLG;JEAN ROSTAND;0421688G;Saint Etienne et communes nord est;45.472522;4.513262
1;42;SAINT CHAMOND;CLG;PIERRE JOANNON;0421486M;Saint Etienne et communes nord est;45.472522;4.513262
0;42;SAINT CHAMOND;LP;CLAUDE LEBOIS;0420078G;Saint Etienne et communes nord est;45.472522;4.513262
0;42;SAINT CHAMOND;LP;HOTELIER;0421736J;Saint Etienne et communes nord est;45.472522;4.513262
0;42;SAINT CHAMOND;LYC;CLAUDE LEBOIS;0420040R;Saint Etienne et communes nord est;45.472522;4.513262
0;42;SAINT CHAMOND;SEGPA;CLG ENNEMOND RICHARD;0421453B;Saint Etienne et communes nord est;45.472522;4.513262
1;42;SAINT ETIENNE;CLG;ARISTIDE BRIAND;0421569C;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
1;42;SAINT ETIENNE;CLG;CLAUDE FAURIEL;0421677V;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;CLG;GAMBETTA;0421452A;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;CLG;HONORE D’URFE;0421678W;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;CLG;JEAN DASTE;0421686E;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;CLG;JULES VALLES;0421176A;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
1;42;SAINT ETIENNE;CLG;LE PORTAIL ROUGE;0421679X;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
P;42;SAINT ETIENNE;CLG;LES CHAMPS;0420058K;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;CLG;MARC SEGUIN;0421451Z;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;CLG;PUITS DE LA LOIRE;0420916T;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;LP;BENOIT CHARVET;0420049A;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;LP;BENOIT FOURNEYRON;0420958N;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;LP;ETIENNE MIMARD;0420079H;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;LYC;CLAUDE FAURIEL;0420041S;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;LYC;ETIENNE MIMARD;0420046X;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;LYC;HONORE D’URFE;0420042T;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
1+P;42;SAINT ETIENNE;LYC;JEAN MONNET;0420043U;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;SEGPA;CLG JEAN DASTE;421687 F;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;SEGPA;CLG JULES VALLES;0421209L;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;SEGPA;CLG MARC SEGUIN;0421485L;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT ETIENNE;SEGPA;CLG PUITS DE LA LOIRE;0420967Y;Saint Etienne et communes nord, communes sud ouest et communes nord est;45.444808;4.389809
0;42;SAINT GALMIER;CLG;JULES ROMAINS;0421607U;Saint Etienne et communes nord;45.595869;4.317967
0;42;SAINT GALMIER;SEGPA;CLG JULES ROMAINS;0421856P;Saint Etienne et communes nord;45.595869;4.317967
0;42;SAINT GERMAIN LAVAL;CLG;PAPIRE MASSON;0420060M;Boen et environs;45.831639;4.016767
0;42;SAINT JUST EN CHEVALET;CLG;LE BREUIL;0420062P;Boen et environs;45.915093;3.842747
0;42;SAINT JUST ST RAMBERT;CLG;ANNE FRANK;0421734G;Saint Etienne et communes nord;45.498039;4.242449
0;42;SAINT PRIEST EN JAREZ;LYC;SIMONE WEIL;0420044V;Saint Etienne et communes nord;45.475089;4.374664
0;42;SAINT ROMAIN LE PUY;CLG;LEONARD DE VINCI;0422136U;Montbrison et communes forez ouest;45.557577;4.129939
0;42;SORBIERS;EREA;NELSON MANDELA;0421608V;Saint Etienne et communes nord est;45.4997083615;4.43728891788
0;42;UNIEUX;CLG;LE BOIS DE LA RIVE;0421068H;Saint Etienne et communes sud ouest;45.4069770909;4.2690668711
0;42;VEAUCHE;CLG;ANTOINE GUICHARD;0422293P;Saint Etienne et communes nord;45.5621736685;4.28985644507
0;42;VERRIERES EN FOREZ;LP;DU HAUT FOREZ;0420065T;Montbrison et communes forez ouest;45.5680113401;3.98919241451